generation,best_fitness,avg_fitness,median_fitness,stddev_fitness,species_count,rolling_best_10,rolling_avg_10
1,692.868,205.794,204.258,78.143,300,692.868,205.794
2,709.358,209.571,210.783,93.6783,147,701.113,207.683
3,728.872,216.437,211.013,91.7635,138,710.366,210.601
4,974.309,216.235,209.112,110.445,133,776.352,212.009
5,887.287,223.382,217.568,107.06,127,798.539,214.284
6,1019.81,232.588,215.286,120.821,123,835.417,217.335
7,805.342,236.792,220.852,113.083,121,831.121,220.114
8,1095.54,233.933,212.795,125.632,117,864.173,221.842
9,968.422,234.602,213.656,124.778,114,875.756,223.259
10,956.178,227.479,207.221,128.146,113,883.799,223.681
11,1063.43,234.26,214.743,143.731,110,920.855,226.528
12,832.614,233.717,213.657,124.884,105,933.18,228.943
13,1112.49,248.71,219.779,151.167,103,971.542,232.17
14,1137.72,249.667,223.557,155.517,103,987.884,235.513
15,1263.85,249.646,216.694,162.486,102,1025.54,238.139
16,1267.43,256.012,220.871,165.885,101,1050.3,240.482
17,1433.14,276.675,226.242,193.476,99,1113.08,244.47
18,1217.9,254.987,214.693,202.235,98,1125.32,246.575
19,1068.16,258.16,214.426,185.405,98,1135.29,248.931
20,1077.67,242.255,210.562,185.073,98,1147.44,250.409
21,973.278,250.895,210.897,166.748,96,1138.42,252.072
22,1224.55,254.082,215.114,197.318,96,1177.62,254.109
23,1229.43,272.429,227.639,186.907,95,1189.31,256.481
24,1220.17,265.551,226.182,181.463,95,1197.56,258.069
25,1404.44,255.805,216.056,196.308,94,1211.62,258.685
26,1145.81,252.378,210.869,192.727,93,1199.45,258.322
27,1039.48,252.912,214.395,177.804,93,1160.09,255.945
28,1212.3,267.459,226.404,189.159,93,1159.53,257.192
29,1067.98,268.666,224.709,191.618,91,1159.51,258.243
30,1060.89,272.576,224.777,216.217,91,1157.83,261.275
31,1062.88,269.022,228.878,186.545,91,1166.79,263.088
32,1377.08,269.622,227.323,188.271,91,1182.05,264.642
33,1092.16,290.936,229.882,219.265,90,1168.32,266.493
34,1291.68,298.555,223.728,246.393,90,1175.47,269.793
35,1508.38,321.519,234.42,271.459,88,1185.86,276.364
36,1429.22,319.086,232.897,266.055,86,1214.21,283.035
37,1239.2,294.778,224.463,257.683,87,1234.18,287.222
38,1372.69,322.277,231.333,263.941,86,1250.22,292.704
39,1264.05,315.869,237.541,248.239,85,1269.82,297.424
40,1439.38,345.479,239.661,283.347,84,1307.67,304.714
41,1229.09,324.772,231.71,284.249,85,1324.29,310.289
42,1285.86,324.437,224.103,277.165,85,1315.17,315.771
43,1413.51,332.771,226.999,297.662,85,1347.31,319.954
44,1359.68,352.363,237.051,317.699,85,1354.11,325.335
45,1483.15,361.41,234.863,316.614,84,1351.58,329.324
46,1655.78,360.117,237.141,308.271,84,1374.24,333.427
47,1402.06,343.758,237.604,289.674,83,1390.53,338.325
48,1400.97,322.693,241.754,263.245,83,1393.35,338.367
49,1213.3,300.437,229.168,237.371,85,1388.28,336.824
50,1199.67,354.359,248.134,264.644,87,1364.31,337.712
51,1338.69,382.86,258.77,315.253,83,1375.27,343.521
52,1245.49,318.85,233.887,260.224,83,1371.23,342.962
53,1444.6,347.607,246.702,288.998,84,1374.34,344.445
54,1296.69,421.594,274.263,313.145,83,1368.04,351.369
55,1545.03,381.578,254.835,319.701,81,1374.23,353.385
56,1265.33,353.456,237.229,269.524,79,1335.18,352.719
57,1481.63,365.067,255.827,295.601,76,1343.14,354.85
58,1451.82,371.505,257.847,290.849,79,1348.22,359.732
59,1345.07,401.592,272.187,312.048,75,1361.4,369.847
60,1232.29,333.388,249.089,247.576,77,1364.66,367.75
61,1274.89,358.687,250.544,286.79,76,1358.28,365.333
62,1435.66,391.964,267.818,311.746,76,1377.3,372.644
63,1288.25,382.266,267.936,289.355,75,1361.67,376.11
64,1246.74,378.145,275.351,287.828,75,1356.67,371.765
65,1393.2,381.886,258.16,295.918,75,1341.49,371.796
66,1332.33,384.921,265.153,299.139,74,1348.19,374.942
67,1238.47,395.381,253.224,307.349,74,1323.87,377.974
68,1420.92,370.945,256.401,302.489,73,1320.78,377.917
69,1575.39,407.318,267.446,336.802,72,1343.81,378.49
70,1366.98,389.879,258.226,319.529,72,1357.28,384.139
71,1478.72,411.427,280.217,340.919,72,1377.67,389.413
72,1452.23,401.462,270.566,315.577,72,1379.32,390.363
73,1600.94,382.465,255.187,312.961,71,1410.59,390.383
74,1329.27,410.395,272.977,326.364,70,1418.85,393.608
75,1400.28,418.369,271.569,322.519,70,1419.55,397.256
76,1580.59,424.803,268.713,351.4,70,1444.38,401.244
77,1663.72,422.865,281.54,350.886,70,1486.9,403.993
78,1445.81,438.495,291.155,352.061,69,1489.39,410.748
79,1487.4,403.269,264.815,345.531,67,1480.6,410.343
80,1343.06,416.293,282.045,331.732,67,1478.2,412.984
81,1490.22,415.076,298.763,327.983,65,1479.35,413.349
82,1378.09,420.486,297.898,318.028,65,1471.94,415.252
83,1535.64,398.723,275.206,326.519,65,1465.41,416.877
84,1414.21,419.057,283.497,331.998,66,1473.9,417.744
85,1645.89,431.743,286.611,327.609,66,1498.46,419.081
86,1266.82,430.619,289.855,322.685,66,1467.09,419.663
87,1400.33,425.5,298.773,332.41,66,1440.75,419.926
88,1391.07,428.821,288.852,338.508,66,1435.27,418.959
89,1446.24,422.136,289.717,331.356,65,1431.16,420.845
90,1614.42,404.97,274.645,323.367,65,1458.29,419.713
91,1475.12,438.353,285.302,338.349,64,1456.78,422.041
92,1466.25,430.869,287.036,335.592,63,1465.6,423.079
93,1542.65,446.466,289.813,363.102,63,1466.3,427.853
