generation,best_fitness,avg_fitness,median_fitness,stddev_fitness,species_count,rolling_best_10,rolling_avg_10
1,430.319,202.243,200.901,71.78,200,430.319,202.243
2,836.072,226.818,213.422,104.479,99,633.196,214.53
3,671.546,217.983,210.206,114.596,89,645.979,215.681
4,1036.15,211.732,199.761,155.414,85,743.523,214.694
5,796.036,198.285,194.267,129.528,81,754.025,211.412
6,624.363,211.546,214.151,115.933,80,732.415,211.435
7,878.986,220.121,214.446,111.489,75,753.354,212.676
8,662.164,212.008,209.459,103.101,75,741.955,212.592
9,917.163,209.584,207.55,113.711,72,761.423,212.258
10,578.945,197.4,196.724,94.1977,71,743.175,210.772
11,1092.21,206.349,209.384,104.381,69,809.364,211.183
12,787.771,227.247,220.208,92.7152,69,804.534,211.226
13,908.262,221.04,209.371,120.898,69,828.205,211.531
14,872.11,217.225,204.859,104.535,69,811.801,212.081
15,918.831,218.748,212.688,115.082,68,824.081,214.127
16,1049,259.094,227.3,158.85,68,866.545,218.882
17,1013.55,252.859,231.771,156.917,66,880.001,222.156
18,912.512,218.377,208.751,118.381,65,905.035,222.792
19,690.935,226.291,208.902,118.357,64,882.413,224.463
20,862.419,226.773,211.963,114.865,64,910.76,227.4
21,891.357,214.749,208.23,119.319,63,890.675,228.24
22,901.215,233.196,207.573,146.935,62,902.019,228.835
23,946.838,221.604,207.72,146.6,62,905.877,228.892
24,800.73,224.233,220.024,106.302,62,898.739,229.592
25,713.107,227.327,214.316,118.106,62,878.166,230.45
26,610.224,221.229,221.612,106.597,62,834.288,226.664
27,645.273,209.105,211.068,108.333,62,797.461,222.288
28,1017.07,229.282,224.865,122.765,61,807.917,223.379
29,808.742,233.131,210.138,129.744,60,819.697,224.063
30,897.063,241.681,219.02,135.116,60,823.162,225.554
31,719.198,241.09,225.814,108.666,60,805.946,228.188
32,819.428,235.524,226.406,121.844,59,797.767,228.42
33,1009.24,261.313,231.596,150.94,59,804.008,232.391
34,1230.67,246.284,224.887,142.358,59,847.002,234.596
35,814.932,243.731,222.411,124.498,58,857.184,236.237
36,1147.23,264.018,239.987,127.823,58,910.885,240.516
37,1180.65,265.904,246.179,165.165,58,964.422,246.196
38,1156.06,266.544,221.541,183.434,57,978.321,249.922
39,961.905,257.164,236.168,166.348,57,993.637,252.325
40,1178.85,268.116,232.391,202.235,56,1021.82,254.969
41,1359.88,252.325,219.057,212.492,55,1085.88,256.092
42,1212.77,258.665,223.109,187.622,55,1125.22,258.406
43,1135.17,277.594,244.516,187.533,55,1137.81,260.035
44,1138.58,255.268,230.689,185.891,55,1128.6,260.933
45,1014.97,228.391,219.657,151.055,55,1148.61,259.399
46,1159.32,246.626,222.861,169.763,55,1149.82,257.66
47,1208.34,260.007,232.328,182.814,53,1152.58,257.07
48,1098.59,252.433,228.135,184.333,53,1146.84,255.659
49,937.574,250.844,218.321,164.49,53,1144.4,255.027
50,1027.37,277.759,238.148,208.061,53,1129.26,255.991
51,1054.81,265.07,230.769,160.986,53,1098.75,257.266
52,1152.66,254.253,218.694,177.557,53,1092.74,256.825
53,1152.88,263.495,212.098,197.447,52,1094.51,255.415
54,1160.63,283.523,242.287,193.878,51,1096.71,258.24
55,1097.06,285.711,243.594,190.274,51,1104.92,263.972
56,1175.94,260.327,227.914,189.799,51,1106.58,265.342
57,1341.33,284.114,235.876,223.437,51,1119.88,267.753
58,1217.66,248.435,213.012,171.054,51,1131.79,267.353
59,1083.96,272.774,255.318,145.942,49,1146.43,269.546
60,1197.51,258.291,233.748,170.2,49,1163.44,267.599
61,961.896,251.382,229.587,163.231,49,1154.15,266.23
62,1035.23,277.983,251.52,173.396,49,1142.41,268.603
63,1117.07,260.52,236.219,194.288,49,1138.83,268.306
64,1079.12,272.021,232.774,172.008,48,1130.68,267.156
65,1162.93,260.44,232.795,163.215,48,1137.26,264.629
66,1053.46,277.518,248.177,161.269,48,1125.02,266.348
67,1235.03,256.366,233.261,183.217,48,1114.39,263.573
68,1303.32,289.863,242.712,186.005,48,1122.95,267.716
69,1138.83,270.381,239.727,179.054,48,1128.44,267.476
70,780.848,258.649,229.179,152.375,48,1086.77,267.512
71,1062.67,271.529,233.63,193.686,48,1096.85,269.527
72,1077.96,296.104,246.094,206.044,48,1101.12,271.339
73,1070.83,258.549,221.641,165.331,46,1096.5,271.142
74,1125.42,290.152,241.118,200.203,46,1101.13,272.955
75,1066.57,286.815,254.571,206.067,46,1091.49,275.593
76,1143.13,283.301,241.742,194.436,46,1100.46,276.171
77,1354.31,295.519,243.244,213.375,46,1112.39,280.086
78,1095.24,276.435,237.828,186.571,46,1091.58,278.743
